text,author,rating,created_at
Wish I could auto download my liked songs for trips,nina_k,4,2026-08-09T12:00:00+00:00
Downloads take forever and often fail halfway Please fix this soon.,dj_ken,3,2026-09-12T12:00:00+00:00
Playback stutters every few seconds on my drive,aria_m,2,2026-07-27T12:00:00+00:00
"Add lyrics view, it is the one feature missing On Android 15.",sofia_p,5,2026-08-07T12:00:00+00:00
Price keeps going up while quality stays the same,maya_r,2,2026-08-01T12:00:00+00:00
"Search is painfully slow, results take 10 seconds Hope the team sees this.",trackfan,2,2026-08-19T12:00:00+00:00
"Buggy update, it freezes every time I open the library tab On Android 15.",aria_m,1,2026-08-25T12:00:00+00:00
The app crashes when I switch between wifi and data,priya_s,1,2026-08-18T12:00:00+00:00
Something in the last update is killing my battery,omar_d,1,2026-09-06T12:00:00+00:00
"Drains 15 percent battery per hour, unacceptable On Android 15.",sofia_p,2,2026-09-08T12:00:00+00:00
Playback stutters every few seconds on my drive Really frustrating.,maya_r,3,2026-08-26T12:00:00+00:00
Playback stutters every few seconds on my drive Hope the team sees this.,priya_s,2,2026-09-02T12:00:00+00:00
Cannot log in after changing my email address,priya_s,1,2026-09-03T12:00:00+00:00
"Offline mode never works on the subway, downloads vanish",mixtape_max,4,2026-08-16T12:00:00+00:00
"Please add a real dark mode, the current one is ugly Please fix this soon.",ella_v,4,2026-09-11T12:00:00+00:00
Would love stats like my top artists each month Please fix this soon.,trackfan,3,2026-09-04T12:00:00+00:00
"Buggy update, it freezes every time I open the library tab Please fix this soon.",nina_k,2,2026-08-17T12:00:00+00:00
"The price hike was not worth it, thinking of canceling On the latest iOS version.",nina_k,3,2026-09-10T12:00:00+00:00
"Skipping tracks has a long delay, feels broken",ella_v,3,2026-07-21T12:00:00+00:00
My downloaded songs disappeared after the update On the latest iOS version.,priya_s,3,2026-08-25T12:00:00+00:00
My phone overheats whenever I stream for a while On Android 15.,omar_d,2,2026-09-06T12:00:00+00:00
The app just closes by itself in the middle of a song On Android 15.,priya_s,2,2026-09-02T12:00:00+00:00
Takes forever to load album art and track lists Really frustrating.,sofia_p,2,2026-08-29T12:00:00+00:00
"Search is painfully slow, results take 10 seconds My friends have the same issue.",basshead,3,2026-09-01T12:00:00+00:00
My phone overheats whenever I stream for a while,sofia_p,1,2026-07-20T12:00:00+00:00
The app feels laggy compared to every other music app,omar_d,2,2026-08-21T12:00:00+00:00
This app drains my battery like nothing else,nina_k,1,2026-09-11T12:00:00+00:00
The overheating started two weeks ago and keeps getting worse,sofia_p,1,2026-08-28T12:00:00+00:00
Font is too small and the contrast is bad,nina_k,3,2026-08-04T12:00:00+00:00
App glitches and restarts whenever I try to share a track,nina_k,1,2026-09-09T12:00:00+00:00
Battery drain makes the app unusable for travel,basshead,1,2026-09-12T12:00:00+00:00
Premium costs too much compared to competitors,mixtape_max,2,2026-08-24T12:00:00+00:00
This app drains my battery like nothing else Please fix this soon.,sofia_p,1,2026-09-08T12:00:00+00:00
It froze and I lost my downloaded playlist view,aria_m,1,2026-08-25T12:00:00+00:00
"Search is painfully slow, results take 10 seconds",ella_v,1,2026-08-12T12:00:00+00:00
"Slow startup, I stare at a spinner for 20 seconds",trackfan,3,2026-09-09T12:00:00+00:00
The annual plan is a better deal but still expensive,trackfan,3,2026-08-25T12:00:00+00:00
"Drains 15 percent battery per hour, unacceptable",aria_m,1,2026-07-27T12:00:00+00:00
Not worth the money until they fix the basics,omar_d,3,2026-08-16T12:00:00+00:00
"Buggy update, it freezes every time I open the library tab",sofia_p,1,2026-07-28T12:00:00+00:00
I wish there were collaborative playlists with friends Hope the team sees this.,basshead,5,2026-09-08T12:00:00+00:00
"Constant crashes since the last update, unusable",sofia_p,2,2026-08-03T12:00:00+00:00
Takes forever to load album art and track lists,sofia_p,1,2026-07-31T12:00:00+00:00
"Bring back the old simple layout, this is confusing",mixtape_max,4,2026-07-25T12:00:00+00:00
I need offline mode for my commute through tunnels,dj_ken,2,2026-09-05T12:00:00+00:00
"The new layout is confusing, I cannot find my playlists",trackfan,3,2026-08-15T12:00:00+00:00
"Buggy update, it freezes every time I open the library tab Started after the recent update.",omar_d,2,2026-09-06T12:00:00+00:00
The redesign buried the features I use daily,sofia_p,2,2026-07-30T12:00:00+00:00
Subscription is pricey and the free trial was too short,mixtape_max,2,2026-08-20T12:00:00+00:00
Customer service was unhelpful about my billing issue Started after the recent update.,omar_d,3,2026-08-15T12:00:00+00:00
Downloaded tracks show as unavailable when offline,omar_d,3,2026-07-27T12:00:00+00:00
Lost half my battery on a two hour listening session,mixtape_max,1,2026-09-02T12:00:00+00:00
"Constant crashes since the last update, unusable On Android 15.",june_b,1,2026-08-09T12:00:00+00:00
"Asked for help twice, no response for a week",trackfan,1,2026-07-20T12:00:00+00:00
"Please add a real dark mode, the current one is ugly",mixtape_max,2,2026-08-22T12:00:00+00:00
Battery graph shows this app at the top every single day,trackfan,2,2026-08-05T12:00:00+00:00
Need a way to filter explicit songs for kids mode,ella_v,5,2026-08-02T12:00:00+00:00
